               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083039,            0.025774,            0.091923,             0.85724,            0.039874,            0.019396,           0.0093758,            0.049499,            0.015461,            0.086446,             0.07021,             0.00331,             0.00331
                   1,            0.054762,            0.018897,             0.07953,             0.92292,            0.024163,            0.025648,            0.013054,            0.045143,            0.010645,            0.079492,            0.040188,           0.0066214,           0.0066214
                   2,            0.051264,             0.01445,             0.07242,             0.95332,            0.037802,            0.035812,            0.019794,            0.046493,           0.0082748,            0.070613,            0.010144,           0.0099108,           0.0099108
                   3,             0.04669,             0.01209,             0.06383,             0.97293,            0.034989,            0.049635,            0.025904,            0.038307,            0.007021,            0.065357,            0.009901,            0.009901,            0.009901
                   4,            0.040792,            0.010462,            0.058372,             0.96753,            0.051712,            0.082187,             0.04779,            0.031378,           0.0066167,             0.05956,            0.009901,            0.009901,            0.009901
                   5,            0.038424,            0.010431,            0.055325,             0.89793,            0.094428,             0.10006,            0.062876,            0.029595,           0.0061699,            0.055245,            0.009868,            0.009868,            0.009868
                   6,            0.035362,           0.0095396,            0.051438,             0.88277,             0.10103,             0.10387,            0.070181,            0.027403,           0.0057406,            0.053212,            0.009835,            0.009835,            0.009835
                   7,            0.034364,           0.0091314,            0.049437,             0.88767,             0.10129,             0.12279,            0.080534,            0.029666,           0.0056111,            0.051102,            0.009802,            0.009802,            0.009802
                   8,            0.032673,           0.0090907,            0.046635,              0.8671,             0.13244,             0.12959,            0.085479,            0.028839,           0.0055704,            0.049034,            0.009769,            0.009769,            0.009769
                   9,            0.032353,           0.0087452,            0.046219,             0.87692,             0.11338,             0.14072,            0.088618,            0.029284,             0.00561,            0.046702,            0.009736,            0.009736,            0.009736
                  10,            0.031386,           0.0084916,            0.043486,             0.87561,             0.13211,              0.1587,             0.10926,            0.024982,           0.0052783,            0.044936,            0.009703,            0.009703,            0.009703
                  11,            0.031424,           0.0084232,            0.042884,             0.87809,             0.13693,             0.16834,             0.11427,            0.024576,           0.0054282,            0.044127,             0.00967,             0.00967,             0.00967
                  12,            0.030746,           0.0084323,            0.041514,             0.88707,             0.13364,             0.17459,             0.12085,            0.026062,           0.0054493,            0.041841,            0.009637,            0.009637,            0.009637
                  13,            0.030416,           0.0083446,            0.038378,             0.79344,             0.18744,             0.19439,             0.13054,            0.024269,            0.005343,            0.041304,            0.009604,            0.009604,            0.009604
                  14,            0.029433,           0.0079987,            0.039257,             0.79893,             0.19184,             0.20844,             0.14645,            0.023979,           0.0052405,            0.039989,            0.009571,            0.009571,            0.009571
                  15,            0.029439,           0.0080465,            0.037044,              0.8224,             0.19286,             0.21205,             0.14972,            0.024032,           0.0051955,            0.039027,            0.009538,            0.009538,            0.009538
                  16,            0.028954,           0.0079981,            0.036044,             0.83706,             0.21123,             0.23007,             0.15974,            0.023458,           0.0052725,            0.038356,            0.009505,            0.009505,            0.009505
                  17,            0.029359,           0.0079665,            0.035194,             0.81496,             0.22017,             0.25453,             0.16887,            0.024908,           0.0051573,            0.036468,            0.009472,            0.009472,            0.009472
                  18,            0.028377,            0.007897,            0.033711,             0.81762,             0.21978,             0.26738,             0.19046,             0.02217,            0.005052,            0.035237,            0.009439,            0.009439,            0.009439
