               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083039,            0.025774,            0.091923,             0.85724,            0.039874,            0.019396,           0.0093758,            0.049499,            0.015461,            0.086446,             0.07021,             0.00331,             0.00331
                   1,             0.05442,            0.019012,             0.07967,             0.92899,            0.027188,              0.0298,            0.014592,            0.041591,            0.010643,            0.079631,            0.040045,           0.0064789,           0.0064789
                   2,            0.050722,            0.014485,            0.072783,             0.96838,            0.037351,            0.042391,            0.021391,            0.041485,           0.0083341,            0.071259,           0.0097159,           0.0094828,           0.0094828
                   3,            0.045393,            0.012109,            0.064232,             0.98396,             0.04019,            0.057657,            0.027011,            0.038075,           0.0069917,            0.064397,           0.0092575,           0.0092575,           0.0092575
                   4,            0.040185,            0.010448,            0.058765,             0.95758,            0.053007,            0.076941,            0.045956,            0.031713,           0.0064683,             0.05893,           0.0092575,           0.0092575,           0.0092575
                   5,             0.03674,            0.010368,            0.055529,             0.83899,            0.096294,            0.096922,            0.060057,            0.030726,           0.0059946,            0.055552,             0.00901,             0.00901,             0.00901
                   6,            0.034728,           0.0094887,             0.05164,             0.91093,            0.097921,             0.11173,            0.069965,            0.028366,           0.0057974,            0.053277,           0.0087625,           0.0087625,           0.0087625
                   7,            0.032945,            0.009007,            0.049758,             0.89309,             0.10825,             0.12176,            0.079142,             0.02827,           0.0055825,            0.051001,            0.008515,            0.008515,            0.008515
                   8,            0.032146,           0.0090221,            0.047459,             0.87596,             0.12689,             0.12339,            0.084348,            0.026503,           0.0054618,            0.050279,           0.0082675,           0.0082675,           0.0082675
                   9,            0.030162,           0.0085998,            0.046987,             0.85597,             0.12581,             0.13952,            0.098868,            0.024592,           0.0053856,            0.048077,             0.00802,             0.00802,             0.00802
                  10,            0.030052,            0.008358,            0.044451,             0.88273,             0.13531,             0.16049,             0.10688,             0.02459,           0.0052293,            0.045457,           0.0077725,           0.0077725,           0.0077725
                  11,            0.029678,           0.0081958,            0.043415,              0.8863,             0.14592,             0.16879,             0.11129,            0.024572,           0.0052998,            0.043852,            0.007525,            0.007525,            0.007525
                  12,            0.028555,           0.0081288,             0.04168,             0.90021,             0.14613,             0.17442,             0.12243,             0.02363,           0.0051236,            0.042825,           0.0072775,           0.0072775,           0.0072775
                  13,            0.027902,           0.0080319,            0.038603,             0.84027,             0.16447,             0.18699,             0.12765,            0.022447,           0.0051496,            0.041585,             0.00703,             0.00703,             0.00703
                  14,            0.027418,           0.0076164,            0.039127,             0.86151,             0.16728,              0.2093,              0.1462,            0.022567,           0.0051315,            0.040103,           0.0067825,           0.0067825,           0.0067825
                  15,            0.026584,            0.007619,            0.037364,             0.82403,             0.19054,             0.22583,             0.16542,            0.021458,           0.0049523,            0.039241,            0.006535,            0.006535,            0.006535
                  16,            0.026073,           0.0075659,            0.036178,             0.82626,             0.21587,             0.24058,             0.17104,            0.022604,            0.004953,            0.037799,           0.0062875,           0.0062875,           0.0062875
                  17,            0.026252,           0.0074941,            0.034827,             0.81429,             0.22951,             0.25953,             0.18328,             0.02187,           0.0048932,            0.036257,             0.00604,             0.00604,             0.00604
                  18,            0.024952,           0.0074901,            0.033652,             0.84095,             0.22989,             0.27042,             0.19772,            0.020179,           0.0048063,            0.035608,           0.0057925,           0.0057925,           0.0057925
                  19,            0.024986,           0.0075595,            0.033129,             0.86094,             0.22441,             0.28146,             0.20786,            0.021022,           0.0048219,            0.033826,            0.005545,            0.005545,            0.005545
                  20,            0.024338,           0.0072635,            0.032902,             0.82669,             0.25259,             0.28558,             0.21183,            0.020682,           0.0047605,            0.032701,           0.0052975,           0.0052975,           0.0052975
                  21,            0.023959,           0.0073277,            0.031591,             0.86505,             0.24609,             0.30632,             0.22674,            0.020577,            0.004742,            0.032519,             0.00505,             0.00505,             0.00505
                  22,            0.023139,           0.0068854,            0.030185,             0.87784,             0.25976,             0.31673,             0.23544,            0.020409,           0.0047678,            0.030747,           0.0048025,           0.0048025,           0.0048025
                  23,            0.023267,           0.0072559,            0.029848,             0.86538,             0.28154,             0.33308,             0.24655,            0.019928,           0.0047507,            0.029767,            0.004555,            0.004555,            0.004555
